"data_as_of","start_week","end_week","state","sex","age_group_new","covid_19_deaths","total_deaths","pneumonia_deaths","pneumonia_and_covid_19_deaths","influenza_deaths","pneumonia_influenza_or_covid","footnote"
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","All Ages","347131","3329907","331354","161474","8726","524629",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","Under 1 year","39","18436","193","6","21","247",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","0-17 years","165","32453","536","29","175","847",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","1-4 years","21","3388","120","3","59","197",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","5-14 years","58","5440","153","11","74","274",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","15-24 years","525","34922","710","188","80","1123",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","18-29 years","1275","61648","1635","532","146","2514",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","25-34 years","2278","71710","2577","1012","232","4058",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","30-49 years","13770","216539","13180","6377","801","21287",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","35-44 years","5991","102128","5872","2718","353","9465",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","45-54 years","16282","186691","15505","7950","761","24488",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","50-64 years","50742","543690","51769","25566","2066","78712",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","55-64 years","40758","431615","41990","20616","1608","63508",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","65-74 years","73856","661771","74220","37521","1865","112151",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","75-84 years","95848","809670","92804","46562","1887","143734",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","All Sexes","85 years and over","111475","1004136","97210","44887","1786","165384",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","All Ages","188195","1739086","183416","92386","4498","283045",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","Under 1 year","27","10182","112","4","10","145",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","0-17 years","95","19073","291","15","96","467",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","1-4 years","12","1958","57","2","38","105",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","5-14 years","33","3247","82","8","36","143",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","15-24 years","318","25830","428","112","37","668",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","18-29 years","802","45169","982","312","74","1539",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","25-34 years","1454","50619","1560","626","114","2491",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","30-49 years","9215","141677","8157","4270","426","13467",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","35-44 years","4005","67019","3655","1831","184","5989",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","45-54 years","10926","117098","9580","5339","445","15536",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","50-64 years","32781","335666","31605","16448","1190","48924",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","55-64 years","26118","265632","25561","13123","922","39320",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","65-74 years","45259","384284","44768","23253","1038","67636",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","75-84 years","53624","422034","52798","27064","948","80170",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Male","85 years and over","46419","391183","44815","21024","726","70842",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","All Ages","158929","1590718","147932","69083","4228","241576",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","Under 1 year","12","8221","81","2","11","102",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","0-17 years","70","13346","245","14","79","380",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","1-4 years","9","1430","63","1","21","92",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","5-14 years","25","2193","71","3","38","131",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","15-24 years","207","9090","282","76","43","455",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","18-29 years","473","16476","653","220","72","975",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","25-34 years","824","21086","1017","386","118","1567",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","30-49 years","4555","74855","5023","2107","375","7820",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","35-44 years","1986","35106","2217","887","169","3476",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","45-54 years","5355","69589","5924","2610","316","8951",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","50-64 years","17960","208013","20163","9117","876","29787",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","55-64 years","14640","165975","16429","7493","686","24188",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","65-74 years","28596","277479","29451","14267","827","44514",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","75-84 years","42221","387624","40003","19496","939","63560",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Female","85 years and over","65054","612925","52394","23862","1060","94540",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Unknown","All Ages","7","103","6","5","0","8",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Unknown","Under 1 year","0","33","0","0","0","0",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Unknown","0-17 years","0","34","0","0","0","0",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Unknown","1-4 years","0","0","0","0","0","0",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Unknown","5-14 years","0","0","0","0","0","0",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Unknown","15-24 years","0","2","0","0","0","0",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Unknown","18-29 years","0","3","0","0","0","0",
"2021-01-21T00:00:00.000","2020-01-01T00:00:00.000","2021-01-16T00:00:00.000","United States","Unknown","25-34 years","0","5","0","0","0","0",
